id,lat,lon,name
220974234,,,Unknown
221651647,,,Harry Hardin Park
221659268,,,Windsor Park
221659280,,,Edinboro Park
221871605,,,Alex Decoteau Park
222791345,,,Unknown
222796232,,,Unknown
223055374,,,Unknown
223365511,,,Unknown
223366397,,,Village on the Lake East Park
223694417,,,Unknown
223694418,,,Unknown
223694419,,,Unknown
224805109,,,Abbey Glen Park
225430368,,,Unknown
225571600,,,Santa Rosa Park
225571613,,,Wally Footz Field
225923577,,,Unknown
226322818,,,Louise McKinney Riverfront Park
226719025,,,Unknown
226719026,,,Unknown
226719027,,,Unknown
226879898,,,Unknown
226879899,,,Unknown
226879914,,,Unknown
226879916,,,Unknown
226879917,,,Unknown
226879922,,,Unknown
226879923,,,Unknown
226879942,,,Unknown
226880148,,,Unknown
226880330,,,Unknown
226928532,,,104 Street Park
226984946,,,Unknown
226984947,,,Unknown
226985620,,,Unknown
226993478,,,Unknown
227554500,,,King Edward Park
227554521,,,Avonmore Park
227559684,,,Unknown
227559685,,,Unknown
228098586,,,Unknown
228098601,,,Constable Ezio Faraone Park
228098612,,,Monsignor William Irwin Park
228098639,,,Unknown
228098642,,,Unknown
228215632,,,Unknown
229501956,,,Unknown
229585065,,,Unknown
230454460,,,Unknown
230454515,,,Victoria Park
230718932,,,Conway Farrell Park
233557898,,,Monsignor Fee Otterson Park
234433638,,,Unknown
234433639,,,Unknown
234439565,,,Unknown
237550980,,,Unknown
237551001,,,Unknown
237551023,,,Unknown
243604566,,,Unknown
243877985,,,Unknown
243878023,,,Ozerna Park
244113541,,,Unknown
250841616,,,Unknown
262153347,,,Jackie Parker Park
269453317,,,Parkwest Toboggan Bowl Park
269453561,,,Parkwest Field
269458018,,,Frank and Etta Wilde Park
273802671,,,Bonnie Doon Park
282998878,,,Unknown
284101249,,,Paul Kane Park
292233945,,,Henderson Park
292499889,,,Unknown
292500007,,,Mutual Park
292500615,,,Hazeldean Park
294448184,,,Maurice Poirier Park
294558222,,,Unknown
294558233,,,Belmont Park
295179061,,,Mike Finland Park
295179078,,,Unknown
297296262,,,Alpine Park
299972298,,,Dr. William Rowan Park
299972303,,,St. Olga Park
299972339,,,Klarvatten Park
300145548,,,Unknown
300167039,,,Unknown
300167040,,,Unknown
300167070,,,Eaux Claires Park
300167089,,,Unknown
301128900,,,Foxboro Park
301128905,,,Foxboro Lake Park
310729490,,,Unknown
312353626,,,Unknown
312353628,,,Unknown
312353632,,,Unknown
312700535,,,Hudson Park
317753505,,,Unknown
317753507,,,Josef Chelen Park
317753508,,,Unknown
317753767,,,Unknown
317753985,,,Unknown
325267624,,,Courtyard #6
325267625,,,Courtyard #1
325267628,,,Courtyard #4
325267629,,,Courtyard #7
325267630,,,Courtyard #5
325267631,,,Courtyard #3
334342386,,,Berm Hill
334342534,,,Unknown
354187635,,,Unknown
361454092,,,Westwood Park
362803653,,,Dawson Drive Natural Area
362803654,,,Davidson Creek Park
362803677,,,Davidson Creek Retention Pond
364432199,,,Unknown
364585505,,,Unknown
364585506,,,Unknown
365403227,,,Unknown
365403229,,,Unknown
365404500,,,Unknown
367659918,,,Kathleen McAllister Park
367703941,,,Earl Samis Park
367703942,,,Unknown
367703943,,,Unknown
367703944,,,Unknown
367703945,,,Unknown
368633872,,,Kirkness Park
370043897,,,Unknown
377991409,,,Anders Svensson Park
378166754,,,Unknown
379034619,,,Unknown
379300444,,,Unknown
380160463,,,Unknown
380186900,,,Thomas Rhatigan Park
380255930,,,Falconer Heights Park
381128352,,,Maude Bell Park
381876795,,,Unknown
382743543,,,Henry Singer Park
384599729,,,"W.C. ""Tubby"" Bateman Park"
385789716,,,Kenilworth Park
386041367,,,Unknown
386283108,,,Unknown
387051119,,,Unknown
387277583,,,Unknown
390080589,,,Unknown
390080622,,,Unknown
392016275,,,Idylwylde Park
395662023,,,Unknown
397405560,,,Capilano Community Park
424533851,,,Wild Rose Park
425265695,,,Laurel Park
425312420,,,Meadows District Park
425352482,,,Laurel Park
425371548,,,Unknown
425431718,,,Wild Rose Park
425690707,,,Sister Mary Ann Casey Park
426391173,,,Tamarack Park 1
426537467,,,Unknown
427642862,,,Unknown
428666739,,,Gateway Park
429393576,,,Violet Archer Park
429496996,,,Unknown
430273335,,,Unknown
431452011,,,Strathearn Park
431456158,,,Unknown
431458787,,,Silver Heights Park
432043040,,,Unknown
432449495,,,Angus Murray Park
432825079,,,Joe Morris Park
432828823,,,Unknown
433692509,,,Unknown
433692510,,,Unknown
433692516,,,Unknown
435698832,,,Unknown
435752089,,,Queen Alexandra Park
437065258,,,Unknown
437236826,,,Unknown
439262880,,,Ellerslie Crossing Park
439418649,,,Laurel Park
439419121,,,Laurel Park
439419677,,,Silver Berry Park
439419678,,,Silver Berry Park
439627785,,,Maple Ridge Park
440547582,,,Glengarry Park
440547587,,,Unknown
440547588,,,Zoie Gardner Park
440548376,,,Cherrydale Park
440548377,,,Kildare Park
440549863,,,Unknown
440549864,,,Braids Park
440549865,,,Robert Brett Park
440551553,,,Unknown
440551554,,,Unknown
440551555,,,Unknown
440553417,,,Ken Poyser Park
440554327,,,Unknown
440554330,,,J. Dean Whittaker Park
440554331,,,Unknown
440554333,,,Unknown
440554334,,,Unknown
440554335,,,Unknown
440554336,,,Unknown
440554337,,,Unknown
440554338,,,Unknown
440554343,,,Unknown
440554344,,,Unknown
443652683,,,Unknown
444994361,,,Unknown
447807873,,,Maple Park 1
447811683,,,Unknown
448240308,,,Henri Legay Park
448240309,,,David Ure Park
448240310,,,Unknown
448240312,,,Unknown
448240313,,,Unknown
448240314,,,Unknown
448240315,,,Hollick Kenyon Park
453082078,,,Unknown
453965679,,,Unknown
455433938,,,Kittlitz Park
455845743,,,Walker Park
